Internal drug ID,Drug type,Phase,Gene,DOE,Mechanism,Supporting sources
1142,Small molecule,4.0,POLE3,Negative modulator,Inhibitor,['CHEMBL']
1142,Small molecule,4.0,PRIM1,Negative modulator,Inhibitor,['CHEMBL']
1142,Small molecule,4.0,PRIM2,Negative modulator,Inhibitor,['CHEMBL']
1143,Small molecule,4.0,CACNA1A,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNA1B,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNA1C,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNA1D,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNA1E,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNA1F,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNA1G,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNA1H,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNA1I,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNA1S,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNA2D1,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNA2D2,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNA2D3,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNA2D4,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNB1,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNB2,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNB3,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNB4,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNG1,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNG2,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNG3,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNG4,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNG5,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNG6,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNG7,Negative modulator,Blocker,['CHEMBL']
1143,Small molecule,4.0,CACNG8,Negative modulator,Blocker,['CHEMBL']
1144,Small molecule,4.0,CACNA1A,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNA1B,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNA1C,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNA1D,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNA1E,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNA1F,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNA1G,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNA1H,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNA1I,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNA1S,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNA2D1,Other,Modulator,['CHEMBL' 'DrugBank']
1144,Small molecule,4.0,CACNA2D2,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNA2D3,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNA2D4,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNB1,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNB2,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNB3,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNB4,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNG1,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNG2,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNG3,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNG4,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNG5,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNG6,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNG7,Other,Modulator,['CHEMBL']
1144,Small molecule,4.0,CACNG8,Other,Modulator,['CHEMBL']
1145,Small molecule,4.0,CACNA1A,Other,Modulator,['CHEMBL']
1145,Small molecule,4.0,CACNA1C,Other,Modulator,['CHEMBL']
1145,Small molecule,4.0,CACNA1D,Other,Modulator,['CHEMBL']
1145,Small molecule,4.0,CACNA1E,Other,Modulator,['CHEMBL']
1145,Small molecule,4.0,CACNA1F,Other,Modulator,['CHEMBL']
1145,Small molecule,4.0,CACNA1G,Other,Modulator,['CHEMBL']
1145,Small molecule,4.0,CACNA1H,Other,Modulator,['CHEMBL']
1145,Small molecule,4.0,CACNA1I,Other,Modulator,['CHEMBL']
1145,Small molecule,4.0,CACNA1S,Other,Modulator,['CHEMBL']
1145,Small molecule,4.0,CACNA2D3,Other,Modulator,['CHEMBL']
1145,Small molecule,4.0,CACNA2D4,Other,Modulator,['CHEMBL']
1145,Small molecule,4.0,CACNB1,Other,Modulator,['CHEMBL']
1145,Small molecule,4.0,CACNB2,Other,Modulator,['CHEMBL']
1145,Small molecule,4.0,CACNB3,Other,Modulator,['CHEMBL']
1145,Small molecule,4.0,CACNB4,Other,Modulator,['CHEMBL']
1145,Small molecule,4.0,CACNG1,Other,Modulator,['CHEMBL']
1145,Small molecule,4.0,CACNG2,Other,Modulator,['CHEMBL']
1145,Small molecule,4.0,CACNG3,Other,Modulator,['CHEMBL']
1145,Small molecule,4.0,CACNG4,Other,Modulator,['CHEMBL']
1145,Small molecule,4.0,CACNG5,Other,Modulator,['CHEMBL']
1145,Small molecule,4.0,CACNG6,Other,Modulator,['CHEMBL']
1145,Small molecule,4.0,CACNG7,Other,Modulator,['CHEMBL']
1145,Small molecule,4.0,CACNG8,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNA1A,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNA1B,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNA1C,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNA1D,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNA1E,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNA1F,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNA1G,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNA1H,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNA1I,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNA1S,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNA2D1,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNA2D2,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNA2D3,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNA2D4,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNB1,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNB2,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNB3,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNB4,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNG1,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNG2,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNG3,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNG4,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNG5,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNG6,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNG7,Other,Modulator,['CHEMBL']
1146,Small molecule,4.0,CACNG8,Other,Modulator,['CHEMBL']
1147,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
1147,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
1147,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL']
1147,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1147,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1147,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1147,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL']
1147,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1147,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
1147,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
1148,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
1148,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
1148,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL']
1148,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1148,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1148,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1148,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL']
1148,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1148,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
1148,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
1149,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
1149,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
1149,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL' 'DrugBank']
1149,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1149,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1149,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1149,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL']
1149,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1149,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
1149,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
1150,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
1150,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
1150,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL']
1150,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1150,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1150,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1150,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL']
1150,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1150,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
1150,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
1151,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
1151,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
1151,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL']
1151,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1151,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1151,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1151,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL']
1151,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1151,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
1151,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
1152,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
1152,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
1152,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL']
1152,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1152,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1152,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1152,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL']
1152,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1152,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
1152,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
1153,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
1153,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL' 'DrugBank']
1153,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL']
1153,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1153,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1153,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1153,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL' 'DrugBank']
1153,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1153,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
1153,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
1154,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
1154,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
1154,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL']
1154,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1154,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1154,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1154,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL']
1154,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1154,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
1154,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
1155,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
1155,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
1155,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL']
1155,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1155,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1155,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1155,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL']
1155,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1155,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
1155,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
1156,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
1156,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
1156,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL']
1156,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1156,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1156,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1156,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL']
1156,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1156,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
1156,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
1157,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
1157,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
1157,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL']
1157,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1157,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1157,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1157,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL' 'DrugBank']
1157,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1157,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
1157,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
1158,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
1158,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
1158,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL']
1158,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1158,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1158,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1158,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL']
1158,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1158,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
1158,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
1159,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
1159,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
1159,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL']
1159,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1159,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1159,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1159,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL']
1159,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1159,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
1159,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
1160,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
1160,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
1160,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL']
1160,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1160,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1160,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1160,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL' 'DrugBank']
1160,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1160,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
1160,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
1161,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
1161,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
1161,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL']
1161,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1161,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1161,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1161,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL' 'DrugBank']
1161,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1161,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
1161,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
1162,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
1162,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
1162,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL' 'DrugBank']
1162,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL' 'DrugBank' 'GTP']
1162,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1162,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1162,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL' 'DrugBank']
1162,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1162,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL' 'DrugBank']
1162,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
1163,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
1163,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
1163,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL']
1163,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1163,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1163,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1163,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL']
1163,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1163,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
1163,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
1164,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
1164,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
1164,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL']
1164,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1164,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1164,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1164,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL']
1164,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1164,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
1164,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
1165,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
1165,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
1165,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL']
1165,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1165,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1165,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1165,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL' 'DrugBank']
1165,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1165,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
1165,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
1166,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
1166,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
1166,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL' 'DrugBank']
1166,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1166,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1166,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1166,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL']
1166,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1166,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
1166,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
1167,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
1167,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
1167,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL']
1167,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1167,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1167,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1167,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL']
1167,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1167,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
1167,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
1168,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL' 'DrugBank']
1168,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
1168,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL' 'DrugBank']
1168,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1168,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1168,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1168,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL']
1168,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1168,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
1168,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
1169,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL' 'DrugBank']
1169,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL' 'DrugBank']
1169,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL']
1169,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1169,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL' 'DrugBank']
1169,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1169,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL']
1169,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1169,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
1169,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL' 'DrugBank' 'GTP']
1170,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
1170,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
1170,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL']
1170,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1170,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1170,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
1170,Small molecule,4.0,SCN5A,Negative modulator,Blocker,['CHEMBL']
1170,Small molecule,4.0,SCN7A,Negative modulator,Blocker,['CHEMBL']
1170,Small molecule,4.0,SCN8A,Negative modulator,Blocker,['CHEMBL']
1170,Small molecule,4.0,SCN9A,Negative modulator,Blocker,['CHEMBL']
1171,Small molecule,4.0,SCN10A,Negative modulator,Blocker,['CHEMBL']
1171,Small molecule,4.0,SCN11A,Negative modulator,Blocker,['CHEMBL']
1171,Small molecule,4.0,SCN1A,Negative modulator,Blocker,['CHEMBL']
1171,Small molecule,4.0,SCN2A,Negative modulator,Blocker,['CHEMBL']
1171,Small molecule,4.0,SCN3A,Negative modulator,Blocker,['CHEMBL']
1171,Small molecule,4.0,SCN4A,Negative modulator,Blocker,['CHEMBL']
